Phenotype	Strain	Coefficient	p.value	q.value
area	X10	-0.00154058092133937	0.981930580799176	0.981930580799176
area	X105	0.0228039838016479	0.73247733323209	0.924316634792875
area	X106	0.0080827789690677	0.902372229733305	0.981930580799176
area	X107	0.0254071053844685	0.699021438819504	0.903613079449603
area	X11	0.0483595403703868	0.469668064551314	0.818105699816111
area	X123	-0.231225347915247	0.000619176343124782	0.0328163461856135
area	X125	-0.0606336934591228	0.342039049372482	0.782036911386493
area	X135	0.0353953234953463	0.592741750477909	0.865547887589233
area	X140	-0.185854461782225	0.129482640547363	0.698817881840738
area	X161	0.0394978482034659	0.541422837723341	0.843982658804032
area	X162	0.059825382932344	0.354857665838533	0.782036911386493
area	X2	-0.0743504237424338	0.238118195898595	0.782036911386493
area	X20	-0.0516156224491342	0.423209746578015	0.801075591736957
area	X217	0.0646818314797255	0.327180733270434	0.782036911386493
area	X22	0.0459114956020514	0.509386567810031	0.818105699816111
area	X224	-0.157373105925443	0.0162266361108651	0.17200234277517
area	X23	0.0649503285190562	0.304903524961346	0.782036911386493
area	X231	0.0957148015660005	0.136563499056997	0.698817881840738
area	X26	0.0531311720512124	0.411072164299019	0.801075591736957
area	X27	0.0273440752127562	0.673934495363905	0.903613079449603
area	X299	-0.0108824509956589	0.868723925463556	0.981930580799176
area	X3	0.00589981194656113	0.928412606536602	0.981930580799176
area	X303	0.0713121466887439	0.368885335559666	0.782036911386493
area	X31	-0.064228242595523	0.33441065027155	0.782036911386493
area	X33	0.034829467367812	0.604250412090596	0.865547887589233
area	X35	-0.11755120860899	0.0772213221827404	0.584675725097892
area	X351	-0.0951122158805373	0.154215083696675	0.698817881840738
area	X36	-0.0362514461996845	0.58204689137752	0.865547887589233
area	X362	-0.170140887756457	0.0103745621023397	0.17200234277517
area	X376	0.154829213541591	0.0151235943150825	0.17200234277517
area	X384	-0.0817141905938823	0.197573925005895	0.747958430379462
area	X40	-0.0295169804940408	0.654789592235915	0.903613079449603
area	X41	-0.00587286270411627	0.927187715944464	0.981930580799176
area	X45	0.0752561336882741	0.257825069213716	0.782036911386493
area	X49	0.0465530279670297	0.460118350940475	0.818105699816111
area	X50	0.0642175795516048	0.329378474507574	0.782036911386493
area	X51	0.00295407034095581	0.964952974101423	0.981930580799176
area	X57	0.0327709136091213	0.795252908560636	0.966125987452557
area	X72	-0.0219773635404679	0.802066857507783	0.966125987452557
area	X8	-0.126218369602745	0.0545247583256452	0.481635365209866
area	X95	-0.0113452225229417	0.857491220655355	0.981930580799176
area	CL11	-0.054732856628064	0.407481529580607	0.801075591736957
area	CL18	-0.105255325071205	0.231731654593683	0.782036911386493
area	CL21	0.00880023411759407	0.894303251219827	0.981930580799176
area	CL41	-0.10199997016154	0.158222916643186	0.698817881840738
area	CL52	-0.0462813389600855	0.49683729695946	0.818105699816111
area	CL58	0.066199109191212	0.306231717375688	0.782036911386493
area	CL73	0.169905390957776	0.0116313879087198	0.17200234277517
area	X363	0.100315319303122	0.184893998616202	0.747958430379462
area	X79	0.00476232826522322	0.951276258916212	0.981930580799176
area	X9	-0.052046490772916	0.50044309506153	0.818105699816111
area	CL72	0.0369368123823588	0.68727275858058	0.903613079449603
area	X451	-0.187595639369844	0.151897924920489	0.698817881840738
hull.area	X10	0.00411276575626445	0.962120729865349	0.994667929157156
hull.area	X105	0.0202806676694725	0.811271747307079	0.91483835334628
hull.area	X106	0.0211199779825417	0.801204842743431	0.91483835334628
hull.area	X107	0.0525258147475067	0.530181887663986	0.906715405033321
hull.area	X11	0.0692512910587472	0.415955636119733	0.906715405033321
hull.area	X123	-0.252656904659877	0.00330633455999293	0.175235731679625
hull.area	X125	-0.0167934918318901	0.836259095525246	0.923369417975793
hull.area	X135	0.0528176573249968	0.530825162351416	0.906715405033321
hull.area	X140	-0.152592009576042	0.32883174052517	0.906715405033321
hull.area	X161	0.0622854854033189	0.449318812789149	0.906715405033321
hull.area	X162	0.101105021227603	0.219357107361043	0.906715405033321
hull.area	X2	-0.085661595813657	0.285840302000449	0.906715405033321
hull.area	X20	-0.0375632199081637	0.647121252778021	0.906715405033321
hull.area	X217	0.0997880699237991	0.235126715616269	0.906715405033321
hull.area	X22	0.0496123964789834	0.575392865766849	0.906715405033321
hull.area	X224	-0.170397216497324	0.0409309443573522	0.421286090241614
hull.area	X23	0.0554265685190816	0.491676545724142	0.906715405033321
hull.area	X231	0.117142535200104	0.152417125606165	0.734373423375158
hull.area	X26	0.0664654670201253	0.4192368084402	0.906715405033321
hull.area	X27	0.0372472820556938	0.652593983235287	0.906715405033321
hull.area	X299	-0.031517100015688	0.706957218688005	0.91483835334628
hull.area	X3	-0.0302626741540199	0.717389787026806	0.91483835334628
hull.area	X303	0.0598268263781705	0.553994641599112	0.906715405033321
hull.area	X31	-0.0364134119201609	0.667205675401878	0.906715405033321
hull.area	X33	0.0219428368200943	0.797568756182238	0.91483835334628
hull.area	X35	-0.162165231781172	0.0556415590885151	0.421286090241614
hull.area	X351	-0.0820753304596389	0.334258271475474	0.906715405033321
hull.area	X36	-0.0209072739395563	0.803075793751855	0.91483835334628
hull.area	X362	-0.187702239437005	0.0263690059234127	0.421286090241614
hull.area	X376	0.194318021629221	0.0166237048444532	0.421286090241614
hull.area	X384	-0.0933435473313553	0.247718892796464	0.906715405033321
hull.area	X40	-0.0475028592692987	0.571994206606919	0.906715405033321
hull.area	X41	-0.0022381812109293	0.978168984735104	0.994667929157156
hull.area	X45	0.0790873558967835	0.350273805968805	0.906715405033321
hull.area	X49	0.0426336077522694	0.595179927188849	0.906715405033321
hull.area	X50	0.124533945730722	0.137516260273753	0.72883617945089
hull.area	X51	-0.0388186344332009	0.650175044984659	0.906715405033321
hull.area	X57	-0.00107588433317361	0.994667929157156	0.994667929157156
hull.area	X72	0.0187254158196644	0.866834016654713	0.937595977197955
hull.area	X8	-0.128378669261939	0.124522926146825	0.72883617945089
hull.area	X95	-0.0364890070785645	0.650057814018792	0.906715405033321
hull.area	CL11	-0.0607869699764838	0.469890803682964	0.906715405033321
hull.area	CL18	-0.174699499918603	0.119216382013236	0.72883617945089
hull.area	CL21	0.021291722777817	0.800659482593797	0.91483835334628
hull.area	CL41	-0.176573892989173	0.0551391759686285	0.421286090241614
hull.area	CL52	-0.030216742728409	0.727503284061655	0.91483835334628
hull.area	CL58	0.0730482965239299	0.375202044759347	0.906715405033321
hull.area	CL73	0.182370312518444	0.0333749224269368	0.421286090241614
hull.area	X363	0.0734641901187115	0.445314715875196	0.906715405033321
hull.area	X79	-0.000949841171502979	0.992358361361248	0.994667929157156
hull.area	X9	-0.0990487910102315	0.313594440365499	0.906715405033321
hull.area	CL72	0.0841784419795832	0.470962133780985	0.906715405033321
hull.area	X451	-0.130159508014113	0.434498390728028	0.906715405033321
solidity	X10	-0.00515735036612742	0.839314157830068	0.946460646063693
solidity	X105	-0.00337608845700162	0.892351952651927	0.981458744055034
solidity	X106	-0.0106997268984133	0.663549508355615	0.946460646063693
solidity	X107	-0.0136186313362695	0.580517879477232	0.946460646063693
solidity	X11	-0.00548242572016061	0.8259491718281	0.946460646063693
solidity	X123	0.0371592734978496	0.142223390953539	0.942229965067195
solidity	X125	-0.0270401173726591	0.25804406924918	0.946460646063693
solidity	X135	-0.013034467063507	0.599120256426829	0.946460646063693
solidity	X140	-0.0106687686979833	0.819942573512286	0.946460646063693
solidity	X161	-0.0219551000653608	0.362683761635388	0.946460646063693
solidity	X162	-0.0301643328598124	0.211692902334135	0.946460646063693
solidity	X2	0.00596722456667462	0.800720382257257	0.946460646063693
solidity	X20	-0.0184034496360828	0.445630836801173	0.946460646063693
solidity	X217	-0.0277398064206771	0.261328244958714	0.946460646063693
solidity	X22	-0.0169239234212535	0.514508798107134	0.946460646063693
solidity	X224	0.0217069847086542	0.375867309609687	0.946460646063693
solidity	X23	0.00664382504317562	0.779220486433088	0.946460646063693
solidity	X231	-0.0131887722141326	0.583557855887341	0.946460646063693
solidity	X26	0.000262215645543522	0.991338934658764	0.997076856198972
solidity	X27	-0.0214515572975015	0.377535970610865	0.946460646063693
solidity	X299	0.0158539030780842	0.520184619478305	0.946460646063693
solidity	X3	0.022631500631253	0.356972176281744	0.946460646063693
solidity	X303	-0.0110867879753107	0.710867105745923	0.946460646063693
solidity	X31	-0.00823873774619827	0.739732904019734	0.946460646063693
solidity	X33	-0.00234054975246044	0.925747205716338	0.981458744055034
solidity	X35	0.047561571107411	0.0571106109330027	0.756715594862286
solidity	X351	-0.0148579685923534	0.553021950746843	0.946460646063693
solidity	X36	-0.0100305835346512	0.683254949069891	0.946460646063693
solidity	X362	0.0333479605283375	0.180378110368814	0.946460646063693
solidity	X376	-0.0473273149233924	0.0469655170126134	0.756715594862286
solidity	X384	0.00773125386267244	0.744945299500507	0.946460646063693
solidity	X40	0.0119830078285576	0.627958324413032	0.946460646063693
solidity	X41	-0.0082708943915617	0.72961424714285	0.946460646063693
solidity	X45	-0.00763935313126808	0.758723293654114	0.946460646063693
solidity	X49	0.0109303287649218	0.642878090509528	0.946460646063693
solidity	X50	-0.0437261132371988	0.0770076994438689	0.777544669921525
solidity	X51	0.0272686633523204	0.278342287800498	0.946460646063693
solidity	X57	0.0230130026313661	0.63331750922816	0.946460646063693
solidity	X72	-0.0534038677452983	0.106057869637398	0.80300958439744
solidity	X8	0.0141328303004459	0.564970650633593	0.946460646063693
solidity	X95	0.00898377839012172	0.703310677678616	0.946460646063693
solidity	CL11	0.0201447465611677	0.414717454363534	0.946460646063693
solidity	CL18	0.0567126382197851	0.0880239248967764	0.777544669921525
solidity	CL21	0.00113992355314062	0.963288604917742	0.997076856198972
solidity	CL41	0.0618767151166484	0.0227906087921081	0.756715594862286
solidity	CL52	-0.0215246634656969	0.398440242210494	0.946460646063693
solidity	CL58	-0.016258601115491	0.50196131169092	0.946460646063693
solidity	CL73	-0.00824318979773201	0.743213724551761	0.946460646063693
solidity	X363	-0.000102624519455475	0.997076856198972	0.997076856198972
solidity	X79	-0.0026888663221528	0.925904475523617	0.981458744055034
solidity	X9	0.0563824947550041	0.0491534079256803	0.756715594862286
solidity	CL72	-0.0177128658789485	0.602960375761621	0.946460646063693
solidity	X451	-0.0240850428485356	0.619440655966387	0.946460646063693
perimeter	X10	-0.000534938976957039	0.992073178233859	0.992073178233859
perimeter	X105	0.0134667188173433	0.798718362976701	0.940712738617003
perimeter	X106	0.00538616775197366	0.917746756863986	0.967581635494494
perimeter	X107	0.0336011797405515	0.518380821852052	0.900033623769429
perimeter	X11	0.0446615915350498	0.398835405471284	0.900033623769429
perimeter	X123	-0.154227211761858	0.00392277531060724	0.207907091462184
perimeter	X125	-0.0259871959988719	0.606984039425453	0.940712738617003
