npixels	filename	Strain	Plate	Col	Row	PlateID	Sticker.size	Normalized.size	Hull.area	Normalized.hull.area
1480	123.1.col1.row1.jpeg	123	1	col1	row1	123.1	1387	1.06705118961788	2410.5	1.73792357606345
2110	123.1.col1.row2.jpeg	123	1	col1	row2	123.1	1387	1.52126892573901	2863.5	2.06452775775054
0	123.1.col1.row3.jpeg	123	1	col1	row3	123.1	1387	0	0	0
0	123.1.col2.row1.jpeg	123	1	col2	row1	123.1	1387	0	0	0
0	123.1.col2.row2.jpeg	123	1	col2	row2	123.1	1387	0	0	0
3063	123.1.col2.row3.jpeg	123	1	col2	row3	123.1	1387	2.2083633741889	4199.5	3.02775775054074
1238	123.1.col3.row1.jpeg	123	1	col3	row1	123.1	1387	0.892573900504686	1874.5	1.35147801009373
769	123.1.col3.row2.jpeg	123	1	col3	row2	123.1	1387	0.554434030281182	1168	0.842105263157895
1881	123.1.col3.row3.jpeg	123	1	col3	row3	123.1	1387	1.35616438356164	2801	2.01946647440519
696	123.1.col4.row1.jpeg	123	1	col4	row1	123.1	1387	0.501802451333814	1011	0.728911319394376
2223	123.1.col4.row2.jpeg	123	1	col4	row2	123.1	1387	1.6027397260274	3105	2.23864455659697
4881	123.1.col4.row3.jpeg	123	1	col4	row3	123.1	1387	3.51910598413843	7618	5.49242970439798
1097	123.2.col1.row1.jpeg	123	2	col1	row1	123.2	1576	0.696065989847716	2044	1.29695431472081
1798	123.2.col1.row2.jpeg	123	2	col1	row2	123.2	1576	1.14086294416244	3082	1.95558375634518
1004	123.2.col1.row3.jpeg	123	2	col1	row3	123.2	1576	0.637055837563452	1792	1.13705583756345
0	123.2.col2.row1.jpeg	123	2	col2	row1	123.2	1576	0	0	0
2122	123.2.col2.row2.jpeg	123	2	col2	row2	123.2	1576	1.34644670050761	4302	2.72969543147208
1685	123.2.col2.row3.jpeg	123	2	col2	row3	123.2	1576	1.06916243654822	3466	2.1992385786802
0	123.2.col3.row1.jpeg	123	2	col3	row1	123.2	1576	0	0	0
0	123.2.col3.row2.jpeg	123	2	col3	row2	123.2	1576	0	0	0
0	123.2.col3.row3.jpeg	123	2	col3	row3	123.2	1576	0	0	0
30	123.2.col4.row1.jpeg	123	2	col4	row1	123.2	1576	0.0190355329949239	51	0.0323604060913706
734	123.2.col4.row2.jpeg	123	2	col4	row2	123.2	1576	0.465736040609137	1287	0.816624365482233
59	123.2.col4.row3.jpeg	123	2	col4	row3	123.2	1576	0.0374365482233503	117	0.074238578680203
0	123.3.col1.row1.jpeg	123	3	col1	row1	123.3	1565	0	0	0
0	123.3.col1.row2.jpeg	123	3	col1	row2	123.3	1565	0	0	0
1305	123.3.col1.row3.jpeg	123	3	col1	row3	123.3	1565	0.833865814696486	2431	1.55335463258786
34	123.3.col2.row1.jpeg	123	3	col2	row1	123.3	1565	0.0217252396166134	151.5	0.0968051118210863
1	123.3.col2.row2.jpeg	123	3	col2	row2	123.3	1565	0.000638977635782748	4	0.00255591054313099
0	123.3.col2.row3.jpeg	123	3	col2	row3	123.3	1565	0	0	0
0	123.3.col3.row1.jpeg	123	3	col3	row1	123.3	1565	0	0	0
221	123.3.col3.row2.jpeg	123	3	col3	row2	123.3	1565	0.141214057507987	338	0.215974440894569
1888	123.3.col3.row3.jpeg	123	3	col3	row3	123.3	1565	1.20638977635783	9972	6.37188498402556
23	123.3.col4.row1.jpeg	123	3	col4	row1	123.3	1565	0.0146964856230032	129	0.0824281150159744
314	123.3.col4.row2.jpeg	123	3	col4	row2	123.3	1565	0.200638977635783	652	0.416613418530351
967	123.3.col4.row3.jpeg	123	3	col4	row3	123.3	1565	0.617891373801917	2894.5	1.84952076677316
573	123.4.col1.row1.jpeg	123	4	col1	row1	123.4	1567	0.365666879387364	1416	0.903637523931079
0	123.4.col1.row2.jpeg	123	4	col1	row2	123.4	1567	0	0	0
3	123.4.col1.row3.jpeg	123	4	col1	row3	123.4	1567	0.001914486279515	6.5	0.00414805360561583
1916	123.4.col2.row1.jpeg	123	4	col2	row1	123.4	1567	1.22271857051691	3464	2.21059349074665
551	123.4.col2.row2.jpeg	123	4	col2	row2	123.4	1567	0.351627313337588	1233.5	0.78717294192725
462	123.4.col2.row3.jpeg	123	4	col2	row3	123.4	1567	0.29483088704531	687.5	0.43873643905552
368	123.4.col3.row1.jpeg	123	4	col3	row1	123.4	1567	0.234843650287173	655	0.417996171027441
1379	123.4.col3.row2.jpeg	123	4	col3	row2	123.4	1567	0.880025526483727	2737.5	1.74696873005743
2055	123.4.col3.row3.jpeg	123	4	col3	row3	123.4	1567	1.31142310146777	4210.5	2.6869814932993
0	123.4.col4.row1.jpeg	123	4	col4	row1	123.4	1567	0	0	0
205	123.4.col4.row2.jpeg	123	4	col4	row2	123.4	1567	0.130823229100191	302	0.192724952137843
0	123.4.col4.row3.jpeg	123	4	col4	row3	123.4	1567	0	0	0
105	22.1.col1.row1.jpeg	22	1	col1	row1	22.1	1536	0.068359375	215.5	0.140299479166667
1561	22.1.col1.row2.jpeg	22	1	col1	row2	22.1	1536	1.01627604166667	3718.5	2.4208984375
1968	22.1.col1.row3.jpeg	22	1	col1	row3	22.1	1536	1.28125	4085	2.65950520833333
0	22.1.col2.row1.jpeg	22	1	col2	row1	22.1	1536	0	0	0
510	22.1.col2.row2.jpeg	22	1	col2	row2	22.1	1536	0.33203125	1155.5	0.752278645833333
1879	22.1.col2.row3.jpeg	22	1	col2	row3	22.1	1536	1.22330729166667	3649.5	2.3759765625
136	22.1.col3.row1.jpeg	22	1	col3	row1	22.1	1536	0.0885416666666667	324	0.2109375
1090	22.1.col3.row2.jpeg	22	1	col3	row2	22.1	1536	0.709635416666667	2091	1.361328125
1249	22.1.col3.row3.jpeg	22	1	col3	row3	22.1	1536	0.813151041666667	2756.5	1.79459635416667
2280	22.1.col4.row1.jpeg	22	1	col4	row1	22.1	1536	1.484375	4871	3.17122395833333
0	22.1.col4.row2.jpeg	22	1	col4	row2	22.1	1536	0	0	0
1630	22.1.col4.row3.jpeg	22	1	col4	row3	22.1	1536	1.06119791666667	3201.5	2.08430989583333
31	22.2.col1.row1.jpeg	22	2	col1	row1	22.2	1522	0.0203679369250986	42.5	0.0279237844940867
472	22.2.col1.row2.jpeg	22	2	col1	row2	22.2	1522	0.31011826544021	1221	0.802233902759527
0	22.2.col1.row3.jpeg	22	2	col1	row3	22.2	1522	0	0	0
0	22.2.col2.row1.jpeg	22	2	col2	row1	22.2	1522	0	0	0
31	22.2.col2.row2.jpeg	22	2	col2	row2	22.2	1522	0.0203679369250986	68	0.0446780551905388
2085	22.2.col2.row3.jpeg	22	2	col2	row3	22.2	1522	1.36990801576873	3924	2.57818659658344
53	22.2.col3.row1.jpeg	22	2	col3	row1	22.2	1522	0.0348226018396846	101.5	0.066688567674113
1046	22.2.col3.row2.jpeg	22	2	col3	row2	22.2	1522	0.687253613666229	1888.5	1.24080157687254
398	22.2.col3.row3.jpeg	22	2	col3	row3	22.2	1522	0.26149802890933	1007.5	0.661957950065703
4	22.2.col4.row1.jpeg	22	2	col4	row1	22.2	1522	0.0026281208935611	15	0.00985545335085414
145	22.2.col4.row2.jpeg	22	2	col4	row2	22.2	1522	0.09526938239159	270.5	0.17772667542707
930	22.2.col4.row3.jpeg	22	2	col4	row3	22.2	1522	0.611038107752957	1926	1.26544021024967
1167	22.3.col1.row1.jpeg	22	3	col1	row1	22.3	1528	0.763743455497382	2232	1.46073298429319
2	22.3.col1.row2.jpeg	22	3	col1	row2	22.3	1528	0.00130890052356021	51	0.0333769633507853
878	22.3.col1.row3.jpeg	22	3	col1	row3	22.3	1528	0.574607329842932	1935	1.2663612565445
2283	22.3.col2.row1.jpeg	22	3	col2	row1	22.3	1528	1.49410994764398	4050	2.65052356020942
72	22.3.col2.row2.jpeg	22	3	col2	row2	22.3	1528	0.0471204188481675	283	0.18520942408377
0	22.3.col2.row3.jpeg	22	3	col2	row3	22.3	1528	0	0	0
865	22.3.col3.row1.jpeg	22	3	col3	row1	22.3	1528	0.566099476439791	1998.5	1.30791884816754
1042	22.3.col3.row2.jpeg	22	3	col3	row2	22.3	1528	0.681937172774869	1973	1.29123036649215
2566	22.3.col3.row3.jpeg	22	3	col3	row3	22.3	1528	1.67931937172775	4482.5	2.93357329842932
545	22.3.col4.row1.jpeg	22	3	col4	row1	22.3	1528	0.356675392670157	989	0.647251308900524
613	22.3.col4.row2.jpeg	22	3	col4	row2	22.3	1528	0.401178010471204	1121	0.733638743455497
52	22.3.col4.row3.jpeg	22	3	col4	row3	22.3	1528	0.0340314136125654	72	0.0471204188481675
