npixels	filename	Strain	Plate	Col	Row	PlateID	Sticker.size	Normalized.size	Hull.area	Normalized.hull.area
0	125.1.col1.row1.jpeg	125	1	col1	row1	125.1	1567	0	0	0
424	125.1.col1.row2.jpeg	125	1	col1	row2	125.1	1567	0.270580727504786	1334.5	0.851627313337588
399	125.1.col1.row3.jpeg	125	1	col1	row3	125.1	1567	0.254626675175495	1072	0.684109763880026
582	125.1.col2.row1.jpeg	125	1	col2	row1	125.1	1567	0.371410338225909	987	0.629865985960434
12	125.1.col2.row2.jpeg	125	1	col2	row2	125.1	1567	0.00765794511805999	108	0.0689215060625399
0	125.1.col2.row3.jpeg	125	1	col2	row3	125.1	1567	0	0	0
608	125.1.col3.row1.jpeg	125	1	col3	row1	125.1	1567	0.388002552648373	1550.5	0.989470325462668
19	125.1.col3.row2.jpeg	125	1	col3	row2	125.1	1567	0.0121250797702616	28	0.0178685386088066
1	125.1.col3.row3.jpeg	125	1	col3	row3	125.1	1567	0.000638162093171666	0	0
0	125.1.col4.row1.jpeg	125	1	col4	row1	125.1	1567	0	0	0
0	125.1.col4.row2.jpeg	125	1	col4	row2	125.1	1567	0	0	0
14	125.1.col4.row3.jpeg	125	1	col4	row3	125.1	1567	0.00893426930440332	125.5	0.080089342693044
820	125.2.col1.row1.jpeg	125	2	col1	row1	125.2	1543	0.531432274789371	1828	1.18470511989631
1024	125.2.col1.row2.jpeg	125	2	col1	row2	125.2	1543	0.663642255346727	1906.5	1.23558003888529
1120	125.2.col1.row3.jpeg	125	2	col1	row3	125.2	1543	0.725858716785483	2050	1.32858068697343
2010	125.2.col2.row1.jpeg	125	2	col2	row1	125.2	1543	1.30265716137395	4088	2.64938431626701
1990	125.2.col2.row2.jpeg	125	2	col2	row2	125.2	1543	1.28969539857421	3415.5	2.21354504212573
2582	125.2.col2.row3.jpeg	125	2	col2	row3	125.2	1543	1.67336357744653	4582	2.96953985742061
676	125.2.col3.row1.jpeg	125	2	col3	row1	125.2	1543	0.438107582631238	1256.5	0.814322747893714
2382	125.2.col3.row2.jpeg	125	2	col3	row2	125.2	1543	1.54374594944913	4487.5	2.90829552819183
1638	125.2.col3.row3.jpeg	125	2	col3	row3	125.2	1543	1.06156837329877	3392.5	2.19863901490603
139	125.2.col4.row1.jpeg	125	2	col4	row1	125.2	1543	0.0900842514581983	407	0.263771872974725
1350	125.2.col4.row2.jpeg	125	2	col4	row2	125.2	1543	0.874918988982502	1881.5	1.21937783538561
2499	125.2.col4.row3.jpeg	125	2	col4	row3	125.2	1543	1.61957226182761	4188.5	2.71451717433571
1034	125.3.col1.row1.jpeg	125	3	col1	row1	125.3	1563	0.661548304542546	2052.5	1.31317978246961
2035	125.3.col1.row2.jpeg	125	3	col1	row2	125.3	1563	1.3019833653231	3704.5	2.37012156110045
902	125.3.col1.row3.jpeg	125	3	col1	row3	125.3	1563	0.577095329494562	1717.5	1.09884836852207
265	125.3.col2.row1.jpeg	125	3	col2	row1	125.3	1563	0.169545745361484	467.5	0.299104286628279
1974	125.3.col2.row2.jpeg	125	3	col2	row2	125.3	1563	1.26295585412668	4275	2.73512476007678
849	125.3.col2.row3.jpeg	125	3	col2	row3	125.3	1563	0.543186180422265	1410	0.9021113243762
3608	125.3.col3.row1.jpeg	125	3	col3	row1	125.3	1563	2.30838131797825	8362	5.34996801023672
58	125.3.col3.row2.jpeg	125	3	col3	row2	125.3	1563	0.037108125399872	223.5	0.14299424184261
2848	125.3.col3.row3.jpeg	125	3	col3	row3	125.3	1563	1.82213691618682	5765	3.68841970569418
2445	125.3.col4.row1.jpeg	125	3	col4	row1	125.3	1563	1.56429942418426	7394	4.73064619321817
1025	125.3.col4.row2.jpeg	125	3	col4	row2	125.3	1563	0.655790147152911	1803.5	1.15387076135637
221	125.3.col4.row3.jpeg	125	3	col4	row3	125.3	1563	0.141394753678823	453.5	0.290147152911068
219	125.4.col1.row1.jpeg	125	4	col1	row1	125.4	1528	0.143324607329843	327.5	0.214332460732984
0	125.4.col1.row2.jpeg	125	4	col1	row2	125.4	1528	0	0	0
1396	125.4.col1.row3.jpeg	125	4	col1	row3	125.4	1528	0.913612565445026	2479.5	1.62270942408377
1	125.4.col2.row1.jpeg	125	4	col2	row1	125.4	1528	0.000654450261780105	0	0
88	125.4.col2.row2.jpeg	125	4	col2	row2	125.4	1528	0.0575916230366492	152.5	0.099803664921466
2356	125.4.col2.row3.jpeg	125	4	col2	row3	125.4	1528	1.54188481675393	3863	2.52814136125654
1668	125.4.col3.row1.jpeg	125	4	col3	row1	125.4	1528	1.09162303664921	2780.5	1.81969895287958
1001	125.4.col3.row2.jpeg	125	4	col3	row2	125.4	1528	0.655104712041885	1745	1.14201570680628
3602	125.4.col3.row3.jpeg	125	4	col3	row3	125.4	1528	2.35732984293194	6714	4.39397905759162
1	125.4.col4.row1.jpeg	125	4	col4	row1	125.4	1528	0.000654450261780105	0	0
0	125.4.col4.row2.jpeg	125	4	col4	row2	125.4	1528	0	0	0
454	125.4.col4.row3.jpeg	125	4	col4	row3	125.4	1528	0.297120418848168	696	0.455497382198953
2234	33.1.col1.row1.jpeg	33	1	col1	row1	33.1	1006	2.220675944334	3575	3.55367793240557
818	33.1.col1.row2.jpeg	33	1	col1	row2	33.1	1006	0.813121272365805	1260.5	1.25298210735586
2218	33.1.col1.row3.jpeg	33	1	col1	row3	33.1	1006	2.20477137176938	3965	3.94135188866799
1763	33.1.col2.row1.jpeg	33	1	col2	row1	33.1	1006	1.75248508946322	2553.5	2.5382703777336
252	33.1.col2.row2.jpeg	33	1	col2	row2	33.1	1006	0.250497017892644	362.5	0.360337972166998
3102	33.1.col2.row3.jpeg	33	1	col2	row3	33.1	1006	3.08349900596421	9067	9.01292246520875
3689	33.1.col3.row1.jpeg	33	1	col3	row1	33.1	1006	3.66699801192843	4854.5	4.82554671968191
0	33.1.col3.row2.jpeg	33	1	col3	row2	33.1	1006	0	0	0
0	33.1.col3.row3.jpeg	33	1	col3	row3	33.1	1006	0	0	0
0	33.1.col4.row1.jpeg	33	1	col4	row1	33.1	1006	0	0	0
3252	33.1.col4.row2.jpeg	33	1	col4	row2	33.1	1006	3.23260437375746	4374	4.34791252485089
0	33.1.col4.row3.jpeg	33	1	col4	row3	33.1	1006	0	0	0
2611	33.2.col1.row1.jpeg	33	2	col1	row1	33.2	1513	1.72571050892267	5528	3.65366820885658
4519	33.2.col1.row2.jpeg	33	2	col1	row2	33.2	1513	2.98678122934567	9996.5	6.60707204230007
624	33.2.col1.row3.jpeg	33	2	col1	row3	33.2	1513	0.412425644415069	1390.5	0.919035029742234
2166	33.2.col2.row1.jpeg	33	2	col2	row1	33.2	1513	1.43159286186385	4834	3.19497686715135
4229	33.2.col2.row2.jpeg	33	2	col2	row2	33.2	1513	2.7951090548579	8552	5.65234633179114
2461	33.2.col2.row3.jpeg	33	2	col2	row3	33.2	1513	1.6265697290152	4924	3.25446133509584
0	33.2.col3.row1.jpeg	33	2	col3	row1	33.2	1513	0	0	0
0	33.2.col3.row2.jpeg	33	2	col3	row2	33.2	1513	0	0	0
2266	33.2.col3.row3.jpeg	33	2	col3	row3	33.2	1513	1.49768671513549	4535.5	2.99768671513549
3	33.2.col4.row1.jpeg	33	2	col4	row1	33.2	1513	0.00198281559814937	40	0.0264375413086583
1367	33.2.col4.row2.jpeg	33	2	col4	row2	33.2	1513	0.903502974223397	2486	1.64309319233311
13	33.2.col4.row3.jpeg	33	2	col4	row3	33.2	1513	0.00859220092531395	111.5	0.073694646397885
116	451.1.col1.row1.jpeg	451	1	col1	row1	451.1	1567	0.0740268028079132	239.5	0.152839821314614
1510	451.1.col1.row2.jpeg	451	1	col1	row2	451.1	1567	0.963624760689215	3400	2.16975111678366
1005	451.1.col1.row3.jpeg	451	1	col1	row3	451.1	1567	0.641352903637524	1777	1.13401403956605
1365	451.1.col2.row1.jpeg	451	1	col2	row1	451.1	1567	0.871091257179324	2343.5	1.4955328653478
68	451.1.col2.row2.jpeg	451	1	col2	row2	451.1	1567	0.0433950223356733	166.5	0.106253988513082
992	451.1.col2.row3.jpeg	451	1	col2	row3	451.1	1567	0.633056796426292	1966.5	1.25494575622208
548	451.1.col3.row1.jpeg	451	1	col3	row1	451.1	1567	0.349712827058073	1029.5	0.65698787492023
