green	filename	Strain	Plate	Col	Row	PlateID
128	123.1.col1.row1.jpeg	123	1	col1	row1	123.1
125	123.1.col1.row2.jpeg	123	1	col1	row2	123.1
NA	123.1.col1.row3.jpeg	123	1	col1	row3	123.1
NA	123.1.col2.row1.jpeg	123	1	col2	row1	123.1
NA	123.1.col2.row2.jpeg	123	1	col2	row2	123.1
131	123.1.col2.row3.jpeg	123	1	col2	row3	123.1
125	123.1.col3.row1.jpeg	123	1	col3	row1	123.1
124	123.1.col3.row2.jpeg	123	1	col3	row2	123.1
132	123.1.col3.row3.jpeg	123	1	col3	row3	123.1
128	123.1.col4.row1.jpeg	123	1	col4	row1	123.1
125	123.1.col4.row2.jpeg	123	1	col4	row2	123.1
124	123.1.col4.row3.jpeg	123	1	col4	row3	123.1
149	123.2.col1.row1.jpeg	123	2	col1	row1	123.2
140	123.2.col1.row2.jpeg	123	2	col1	row2	123.2
147	123.2.col1.row3.jpeg	123	2	col1	row3	123.2
NA	123.2.col2.row1.jpeg	123	2	col2	row1	123.2
150	123.2.col2.row2.jpeg	123	2	col2	row2	123.2
142	123.2.col2.row3.jpeg	123	2	col2	row3	123.2
NA	123.2.col3.row1.jpeg	123	2	col3	row1	123.2
NA	123.2.col3.row2.jpeg	123	2	col3	row2	123.2
NA	123.2.col3.row3.jpeg	123	2	col3	row3	123.2
132	123.2.col4.row1.jpeg	123	2	col4	row1	123.2
146	123.2.col4.row2.jpeg	123	2	col4	row2	123.2
129	123.2.col4.row3.jpeg	123	2	col4	row3	123.2
NA	123.3.col1.row1.jpeg	123	3	col1	row1	123.3
NA	123.3.col1.row2.jpeg	123	3	col1	row2	123.3
134	123.3.col1.row3.jpeg	123	3	col1	row3	123.3
134	123.3.col2.row1.jpeg	123	3	col2	row1	123.3
179	123.3.col2.row2.jpeg	123	3	col2	row2	123.3
NA	123.3.col2.row3.jpeg	123	3	col2	row3	123.3
NA	123.3.col3.row1.jpeg	123	3	col3	row1	123.3
128	123.3.col3.row2.jpeg	123	3	col3	row2	123.3
136	123.3.col3.row3.jpeg	123	3	col3	row3	123.3
119	123.3.col4.row1.jpeg	123	3	col4	row1	123.3
125	123.3.col4.row2.jpeg	123	3	col4	row2	123.3
127	123.3.col4.row3.jpeg	123	3	col4	row3	123.3
136	123.4.col1.row1.jpeg	123	4	col1	row1	123.4
NA	123.4.col1.row2.jpeg	123	4	col1	row2	123.4
