green	filename	Strain	Plate	Col	Row	PlateID
NA	125.1.col1.row1.jpeg	125	1	col1	row1	125.1
131	125.1.col1.row2.jpeg	125	1	col1	row2	125.1
127	125.1.col1.row3.jpeg	125	1	col1	row3	125.1
125	125.1.col2.row1.jpeg	125	1	col2	row1	125.1
130	125.1.col2.row2.jpeg	125	1	col2	row2	125.1
NA	125.1.col2.row3.jpeg	125	1	col2	row3	125.1
124	125.1.col3.row1.jpeg	125	1	col3	row1	125.1
121	125.1.col3.row2.jpeg	125	1	col3	row2	125.1
157	125.1.col3.row3.jpeg	125	1	col3	row3	125.1
NA	125.1.col4.row1.jpeg	125	1	col4	row1	125.1
NA	125.1.col4.row2.jpeg	125	1	col4	row2	125.1
109	125.1.col4.row3.jpeg	125	1	col4	row3	125.1
136	125.2.col1.row1.jpeg	125	2	col1	row1	125.2
142	125.2.col1.row2.jpeg	125	2	col1	row2	125.2
148	125.2.col1.row3.jpeg	125	2	col1	row3	125.2
147	125.2.col2.row1.jpeg	125	2	col2	row1	125.2
139	125.2.col2.row2.jpeg	125	2	col2	row2	125.2
147	125.2.col2.row3.jpeg	125	2	col2	row3	125.2
136	125.2.col3.row1.jpeg	125	2	col3	row1	125.2
142	125.2.col3.row2.jpeg	125	2	col3	row2	125.2
146	125.2.col3.row3.jpeg	125	2	col3	row3	125.2
121	125.2.col4.row1.jpeg	125	2	col4	row1	125.2
139	125.2.col4.row2.jpeg	125	2	col4	row2	125.2
142	125.2.col4.row3.jpeg	125	2	col4	row3	125.2
147	125.3.col1.row1.jpeg	125	3	col1	row1	125.3
142	125.3.col1.row2.jpeg	125	3	col1	row2	125.3
146	125.3.col1.row3.jpeg	125	3	col1	row3	125.3
137	125.3.col2.row1.jpeg	125	3	col2	row1	125.3
146	125.3.col2.row2.jpeg	125	3	col2	row2	125.3
150	125.3.col2.row3.jpeg	125	3	col2	row3	125.3
147	125.3.col3.row1.jpeg	125	3	col3	row1	125.3
134	125.3.col3.row2.jpeg	125	3	col3	row2	125.3
143	125.3.col3.row3.jpeg	125	3	col3	row3	125.3
143	125.3.col4.row1.jpeg	125	3	col4	row1	125.3
142	125.3.col4.row2.jpeg	125	3	col4	row2	125.3
131	125.3.col4.row3.jpeg	125	3	col4	row3	125.3
129	125.4.col1.row1.jpeg	125	4	col1	row1	125.4
NA	125.4.col1.row2.jpeg	125	4	col1	row2	125.4
143	125.4.col1.row3.jpeg	125	4	col1	row3	125.4
140.5	125.4.col2.row1.jpeg	125	4	col2	row1	125.4
119	125.4.col2.row2.jpeg	125	4	col2	row2	125.4
146	125.4.col2.row3.jpeg	125	4	col2	row3	125.4
134	125.4.col3.row1.jpeg	125	4	col3	row1	125.4
137	125.4.col3.row2.jpeg	125	4	col3	row2	125.4
143	125.4.col3.row3.jpeg	125	4	col3	row3	125.4
78	125.4.col4.row1.jpeg	125	4	col4	row1	125.4
NA	125.4.col4.row2.jpeg	125	4	col4	row2	125.4
121	125.4.col4.row3.jpeg	125	4	col4	row3	125.4
112	33.1.col1.row1.jpeg	33	1	col1	row1	33.1
97	33.1.col1.row2.jpeg	33	1	col1	row2	33.1
105	33.1.col1.row3.jpeg	33	1	col1	row3	33.1
116	33.1.col2.row1.jpeg	33	1	col2	row1	33.1
111	33.1.col2.row2.jpeg	33	1	col2	row2	33.1
119	33.1.col2.row3.jpeg	33	1	col2	row3	33.1
121	33.1.col3.row1.jpeg	33	1	col3	row1	33.1
NA	33.1.col3.row2.jpeg	33	1	col3	row2	33.1
NA	33.1.col3.row3.jpeg	33	1	col3	row3	33.1
NA	33.1.col4.row1.jpeg	33	1	col4	row1	33.1
118	33.1.col4.row2.jpeg	33	1	col4	row2	33.1
NA	33.1.col4.row3.jpeg	33	1	col4	row3	33.1
141	33.2.col1.row1.jpeg	33	2	col1	row1	33.2
142	33.2.col1.row2.jpeg	33	2	col1	row2	33.2
136	33.2.col1.row3.jpeg	33	2	col1	row3	33.2
142	33.2.col2.row1.jpeg	33	2	col2	row1	33.2
145	33.2.col2.row2.jpeg	33	2	col2	row2	33.2
140	33.2.col2.row3.jpeg	33	2	col2	row3	33.2
NA	33.2.col3.row1.jpeg	33	2	col3	row1	33.2
NA	33.2.col3.row2.jpeg	33	2	col3	row2	33.2
142	33.2.col3.row3.jpeg	33	2	col3	row3	33.2
143	33.2.col4.row1.jpeg	33	2	col4	row1	33.2
134	33.2.col4.row2.jpeg	33	2	col4	row2	33.2
119.5	33.2.col4.row3.jpeg	33	2	col4	row3	33.2
122	451.1.col1.row1.jpeg	451	1	col1	row1	451.1
147	451.1.col1.row2.jpeg	451	1	col1	row2	451.1
144	451.1.col1.row3.jpeg	451	1	col1	row3	451.1
148	451.1.col2.row1.jpeg	451	1	col2	row1	451.1
129.5	451.1.col2.row2.jpeg	451	1	col2	row2	451.1
150	451.1.col2.row3.jpeg	451	1	col2	row3	451.1
148	451.1.col3.row1.jpeg	451	1	col3	row1	451.1
130	451.1.col3.row2.jpeg	451	1	col3	row2	451.1
180	451.1.col3.row3.jpeg	451	1	col3	row3	451.1
144	451.1.col4.row1.jpeg	451	1	col4	row1	451.1
133	451.1.col4.row2.jpeg	451	1	col4	row2	451.1
125	451.1.col4.row3.jpeg	451	1	col4	row3	451.1
NA	451.2.col1.row1.jpeg	451	2	col1	row1	451.2
NA	451.2.col1.row2.jpeg	451	2	col1	row2	451.2
NA	451.2.col1.row3.jpeg	451	2	col1	row3	451.2
NA	451.2.col2.row1.jpeg	451	2	col2	row1	451.2
NA	451.2.col2.row2.jpeg	451	2	col2	row2	451.2
139	451.2.col2.row3.jpeg	451	2	col2	row3	451.2
132	451.2.col3.row1.jpeg	451	2	col3	row1	451.2
108.5	451.2.col3.row2.jpeg	451	2	col3	row2	451.2
